,NM_UF_IES_ORIGEM,AN_INICIO,AN_FIM,NM_NIVEL,NM_GRANDE_AREA,NM_PROGRAMA,ID_PROCESSO,NM_IES_ORIGEM_PRINCIPAL_DA,NM_IES_ESTUDO_PRINCIPAL_DA
5471,PARANÁ,2014,2015,ESTÁGIO PÓS-DOUTORAL,FRANÇA,,8345-14-7,UNIVERSIDADE ESTADUAL DE LONDRINA,INSTITUT DE RECHERCHE POUR LE DÉVELOPPEMENT
5472,SÃO PAULO,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,CAPES/DGPU (DIREÇÃO GERAL DE POLÍTICA UNIVERSITÁRIA),8354-13-8,UNIVERSIDADE DE SÃO PAULO,UNIVERSIDAD CARLOS III DE MADRID
5473,SÃO PAULO,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,CAPES/DGPU (DIREÇÃO GERAL DE POLÍTICA UNIVERSITÁRIA),8354-13-8,UNIVERSIDADE DE SÃO PAULO,UNIVERSIDAD CARLOS III DE MADRID
5474,RIO GRANDE DO SUL,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,CAPES/DGPU (DIREÇÃO GERAL DE POLÍTICA UNIVERSITÁRIA),8381-12-7,UNIVERSIDADE FEDERAL DE PELOTAS,UNIVERSIDAD DE SEVILLA
5475,RIO GRANDE DO SUL,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,CAPES/DGPU (DIREÇÃO GERAL DE POLÍTICA UNIVERSITÁRIA),8381-12-7,UNIVERSIDADE FEDERAL DE PELOTAS,UNIVERSIDAD DE SEVILLA
5476,RIO DE JANEIRO,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,CAPES/WBI (WALLONIE BRUXELLES INTERNATIONAL),8445-13-3,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UNIVERSITÉ LIBRE DE BRUXELLES
5477,RIO DE JANEIRO,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,CAPES/WBI (WALLONIE BRUXELLES INTERNATIONAL),8445-13-3,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UNIVERSITÉ LIBRE DE BRUXELLES
5478,RIO DE JANEIRO,2014,2015,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,8567-13-1,UNIVERSIDADE FEDERAL FLUMINENSE,UNIVERSITY OF NORTH CAROLINA
5479,SÃO PAULO,2014,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,8568-13-8,UNIVERSIDADE FEDERAL DE SÃO PAULO,SAPIENZA UNIVERSITÁT DI ROMA
5480,SÃO PAULO,2014,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,8568-13-8,UNIVERSIDADE FEDERAL DE SÃO PAULO,SAPIENZA UNIVERSITÁT DI ROMA
5481,PARANÁ,2013,2014,ESTÁGIO PÓS-DOUTORAL,MULTIDISCIPLINAR,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,8571-13-9,UNIVERSIDADE ESTADUAL DE LONDRINA,UNIVERSITAT POLITÈCNICA DE VALÈNCIA
