,nome_ies_destino_norm,pais_ies_destino,frequencia
430,politecnico di torino,ITÁLIA,20
431,universita degli studi di pavia,ITÁLIA,20
432,institut national polytechnique de toulouse,FRANÇA,19
433,drexel university,ESTADOS UNIDOS,19
434,technishe universiteit eindhoven,HOLANDA,19
435,universitat heidelberg,ALEMANHA,19
436,universitat duisburg essen essen,ALEMANHA,19
437,universidade federal da paraiba,BRASIL,19
438,plymouth university,REINO UNIDO,19
439,universite jean moulin lyon 3,FRANÇA,19
440,technische universitat hamburg harburg,ALEMANHA,19
441,deakin university,AUSTRÁLIA,19
442,universitat regensburg,ALEMANHA,19
443,james cook university,AUSTRÁLIA,19
444,university of helsinki,FINLÂNDIA,19
445,university of essex,REINO UNIDO,19
446,rice university,ESTADOS UNIDOS,19
447,university of cape town,ÁFRICA DO SUL,19
448,universite de caen normandie,FRANÇA,19
449,university of brighton,REINO UNIDO,19
450,universite du maine,FRANÇA,18
451,rothamsted research,REINO UNIDO,18
452,universite de sherbrooke,CANADÁ,18
453,universitat bielefeld,ALEMANHA,18
454,university of oklahoma norman,ESTADOS UNIDOS,18
455,universitat salzburg,ÁUSTRIA,18
456,christian albrechts universitat zu kiel,ALEMANHA,18
457,nhtv internationaal hoger onderwijs breda,HOLANDA,18
458,universite toulouse i capitole,FRANÇA,18
459,american museum of natural history,ESTADOS UNIDOS,18
460,universidade fernando pessoa,PORTUGAL,18
461,norges teknisk naturvitenskapelige universitet,NORUEGA,18
462,washington university in st louis,ESTADOS UNIDOS,18
463,universite de la rochelle,FRANÇA,17
464,dalhousie university,CANADÁ,17
465,university of the arts london,REINO UNIDO,17
466,centers for disease control and prevention,ESTADOS UNIDOS,17
467,yeshiva university,ESTADOS UNIDOS,17
468,universidade nova de lisboa faculdade de ciencias sociais e humanas,PORTUGAL,17
469,oe gaillimh,IRLANDA,17
470,queensland university of technology,AUSTRÁLIA,17
471,commissariat a l energie atomique et aux energies alternatives,FRANÇA,17
472,colorado school of mines,ESTADOS UNIDOS,17
473,consejo nacional de investigaciones cientificas y tecnicas,ARGENTINA,17
474,universita degli studi di trento,ITÁLIA,17
475,eidgenossische technische hochschule zurich,SUÍÇA,17
476,universita degli studi di roma la sapienza,ITÁLIA,17
477,oregon health science university,ESTADOS UNIDOS,17
478,wayne state university,ESTADOS UNIDOS,17
479,universidad nacional de san martin,ARGENTINA,17
480,universidad de extremadura,ESPANHA,17
481,universidad nacional de quilmes,ARGENTINA,17
482,ryerson university,CANADÁ,17
483,swansea university,REINO UNIDO,17
484,universidade pedagogica,MOÇAMBIQUE,17
485,boston college,ESTADOS UNIDOS,17
486,forschungszentrum julich,ALEMANHA,17
487,vrije universiteit brussel,BÉLGICA,17
488,san diego state university,ESTADOS UNIDOS,16
489,hanzehogeschool groningen,HOLANDA,16
490,universidade do vale do itajai,BRASIL,16
491,universite pierre mendes france grenoble ii,FRANÇA,16
492,universiteit twente,HOLANDA,16
493,university of north texas denton,ESTADOS UNIDOS,16
494,cleveland clinic foundation,ESTADOS UNIDOS,16
495,university of technology sydney,AUSTRÁLIA,16
496,coventry university,REINO UNIDO,16
497,wake forest university,ESTADOS UNIDOS,16
498,universitat de les illes balears,ESPANHA,16
499,nederlands instituut voor ecologie,HOLANDA,16
500,american university,ESTADOS UNIDOS,16
501,scripps research institute,ESTADOS UNIDOS,16
502,universidad de oriente,CUBA,15
503,bundesanstalt fur materialforschung und prufung,ALEMANHA,15
504,instituto politecnico de lisboa,PORTUGAL,15
505,philipps universitat marburg,ALEMANHA,15
506,bangor university,REINO UNIDO,15
507,kent state university,ESTADOS UNIDOS,15
508,universitat fur bodenkultur wien,ÁUSTRIA,15
509,united states geological survey,ESTADOS UNIDOS,15
510,international institute for applied systems analysis,ÁUSTRIA,15
511,instituto de investigacao cientifica tropical,PORTUGAL,15
512,universite paris dauphine paris ix,FRANÇA,14
513,universite de bordeaux talence,FRANÇA,14
514,university of cincinnati,ESTADOS UNIDOS,14
